Cities,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,WindSpeed
Tasiilaq,65.61,-37.64,-2.0,74,100,5.7
Codrington,-28.95,153.24,22.0,82,75,0.5
Zyryanka,65.73,150.89,-11.74,94,97,2.03
Warrnambool,-38.38,142.48,15.0,90,100,0.89
Hithadhoo,-0.6,73.08,27.17,80,24,4.66
Bilma,18.69,12.92,25.61,14,0,2.51
Tiksi,71.64,128.87,-19.05,85,100,3.47
San Patricio,-26.98,-56.83,33.81,43,0,1.76
Alexandria,43.97,25.33,6.11,91,30,1.34
Berdigestyakh,62.1,126.7,-15.88,96,34,2.26
Ankang,32.73,108.99,10.48,92,89,1.07
Argenta,44.61,11.83,12.22,81,75,2.1
College,64.86,-147.8,-3.33,92,90,0.86
Bathsheba,13.22,-59.52,29.0,74,40,5.7
Tanhacu,-14.02,-41.25,30.49,42,84,5.47
Hambantota,6.12,81.12,26.24,82,96,3.05
Ribeira Grande,38.52,-28.7,19.0,88,40,2.6
Kitimat,54.02,-128.69,8.0,93,90,10.8
Kavieng,-2.57,150.8,29.29,73,95,5.58
Cabinda,-5.56,12.19,26.7,83,83,4.79
Avera,33.19,-82.53,18.0,41,1,1.5
Cascais,38.7,-9.42,19.44,93,75,5.7
Chapais,49.78,-74.86,-3.0,86,90,6.2
Geraldton,49.72,-86.95,-1.0,63,90,3.6
Safford,32.83,-109.71,21.11,9,1,2.1
Kapaa,22.08,-159.32,28.0,69,1,4.6
Komsomolskiy,67.55,63.78,-15.4,97,91,0.76
Key West,47.93,-96.78,4.0,60,75,5.7
Quatre Cocos,-20.21,57.76,21.11,88,40,1.5
Praia da Vitoria,38.73,-27.07,19.0,93,75,5.02
Haines Junction,60.75,-137.51,0.58,100,88,3.22
Nargana,9.44,-78.59,28.02,79,100,4.83
Necochea,-38.55,-58.74,18.89,80,97,4.92
Cidreira,-30.17,-50.22,20.3,86,88,13.21
Jutai,-1.71,-47.89,28.82,63,100,1.5
Port Hardy,50.7,-127.42,9.0,81,75,2.6
Baykit,61.68,96.39,-5.67,97,100,1.14
Nador,35.17,-2.93,22.0,68,32,10.3
Monrovia,6.33,-10.8,26.0,94,40,1.84
Atkinson,41.42,-90.02,6.0,69,40,4.65
Sharjah,25.36,55.39,31.0,48,0,5.1
Portoferraio,42.81,10.31,17.78,87,40,2.1
Colares,38.8,-9.45,19.44,93,75,5.7
Hermanus,-34.42,19.24,17.22,47,33,3.58
Baherden,38.44,57.43,14.11,65,0,4.47
Rexburg,43.82,-111.79,4.0,40,1,2.6
Cherskiy,68.75,161.3,-11.04,89,94,2.62
Shakiso,5.77,38.9,14.86,97,67,0.6
Barrow,-38.31,-60.23,19.39,83,100,2.34
Dakar,14.69,-17.45,27.0,74,0,4.1
Khatanga,71.98,102.47,-22.71,98,95,2.11
Alice Springs,-23.7,133.88,23.0,31,75,7.2
Golden,39.76,-105.22,4.44,55,40,2.6
Mount Darwin,-16.77,31.58,19.3,76,9,3.0
Tiassale,5.9,-4.83,23.53,96,100,0.71
Egvekinot,66.32,-179.17,-13.13,62,0,0.99
Kaitangata,-46.28,169.85,15.56,59,1,2.68
Bundaberg,-24.87,152.35,23.89,83,75,3.1
Mahebourg,-20.41,57.7,21.0,88,40,1.5
Cairns,-16.92,145.77,25.56,73,40,6.2
Ekhabi,53.51,142.97,3.36,89,55,7.75
Okha,53.59,142.95,3.36,89,55,7.75
Keti Bandar,24.14,67.45,29.29,62,0,4.49
Souillac,45.6,-0.6,18.0,93,90,8.2
Gaoua,10.33,-3.18,27.29,59,15,1.7
Baltasi,56.34,50.21,-3.63,91,100,7.72
Ilulissat,69.22,-51.1,-4.0,73,75,2.6
Russell,38.9,-98.86,12.22,37,20,8.7
Georgetown,6.8,-58.16,29.0,83,20,4.1
Grottammare,42.99,13.87,15.0,93,40,1.5
Saint George,39.45,22.34,17.0,93,75,3.12
Abu Dhabi,24.47,54.37,29.0,51,0,2.1
Skibbereen,51.55,-9.27,9.0,93,40,8.2
Ola,59.58,151.3,0.1,79,100,11.73
San Jose,14.25,-87.96,28.0,58,75,3.1
Shangzhi,45.21,127.96,-0.22,49,0,2.96
Thompson,55.74,-97.86,-5.0,85,90,4.1
Pudozh,61.81,36.54,-7.92,95,30,2.02
Oranjemund,-28.55,16.43,17.57,55,9,1.17
Provost,52.35,-110.26,3.57,63,12,3.85
Piedra Gorda,-0.75,-80.04,29.45,51,88,3.89
Mulege,26.88,-111.98,23.77,46,0,5.59
Kahului,20.89,-156.47,29.0,58,20,4.1
Klaksvik,62.23,-6.59,7.0,75,31,7.2
Coahuayana,18.62,-100.35,29.23,60,68,1.06
Hilo,19.71,-155.08,30.0,62,40,4.1
Hamilton,43.26,-79.87,5.56,59,75,5.7
Beloha,-25.17,45.06,17.55,76,0,5.21
Upernavik,72.79,-56.15,-10.39,61,47,1.72
Neiafu,-18.65,-173.98,23.43,74,100,8.34
Sterling,39.0,-77.4,12.22,46,1,5.1
Flin Flon,54.77,-101.88,-1.0,68,90,5.7
Nipawin,53.36,-104.02,1.0,74,90,3.6
Kalmunai,7.42,81.82,26.98,82,100,4.39
Wanning,48.64,13.53,6.67,93,75,1.5
Pevek,69.7,170.27,-14.19,92,0,2.45
Saldanha,41.42,-6.55,15.09,88,95,6.83
Burdur,37.72,30.29,10.0,87,40,4.6
Anori,-3.74,-61.66,27.38,86,84,1.38
Oakley,38.0,-121.71,24.0,18,1,1.15
Lusambo,-4.97,23.44,20.72,96,2,0.09
Constitucion,23.99,-104.67,26.0,21,40,2.6
Moranbah,-22.0,148.04,20.94,76,73,6.44
Kalcheva,45.73,28.81,4.02,71,0,2.45
Port Elizabeth,39.31,-74.98,12.22,40,1,5.1
Gat,14.69,-16.54,29.0,45,0,5.01
Norman Wells,65.28,-126.83,-6.0,92,75,2.1
Ozinki,51.2,49.73,-4.66,60,0,2.17
Phangnga,8.45,98.53,24.0,88,75,1.0
San Jeronimo,-13.65,-73.37,3.0,100,40,3.6
Half Moon Bay,37.46,-122.43,24.44,62,1,2.1
Denizli,37.77,29.09,10.0,100,40,0.5
Watsa,3.04,29.53,18.34,96,100,0.68
Chimore,-16.98,-65.13,37.95,26,3,1.35
Longyearbyen,78.22,15.63,-4.0,73,75,9.3
Chernyshevskiy,63.01,112.47,-13.09,90,100,2.1
Prachuap Khiri Khan,11.81,99.79,24.08,82,0,5.23
Pochutla,15.74,-96.47,31.67,66,5,5.1
Narasannapeta,18.42,84.04,23.45,90,15,1.68
Tome,38.69,141.2,6.0,81,20,1.5
Faanui,-16.48,-151.75,27.36,79,48,5.56
Flinders,-34.58,150.85,20.0,77,39,2.6
Vysokogornyy,50.1,139.13,-6.64,91,99,3.27
Ixtapa,20.71,-105.21,30.56,70,90,3.6
Marathon,48.72,-86.38,-1.0,86,90,3.1
El Tigre,8.89,-64.25,31.09,54,86,2.72
Waingapu,-9.65,120.26,27.4,75,48,5.61
Kutum,14.2,24.66,23.15,23,0,4.52
Plettenberg Bay,-34.05,23.37,20.37,54,100,5.39
Osmena,12.17,124.59,26.07,82,100,3.17
Vadakku Valliyur,8.38,77.65,21.96,92,0,1.07
Shingu,33.72,135.99,16.76,69,26,4.83
Iranshahr,27.21,60.69,21.0,73,40,5.1
Nizwa,22.93,57.53,22.33,66,2,0.61
Springbok,-29.67,17.88,17.82,21,0,3.19
Truth or Consequences,33.13,-107.25,17.0,5,1,1.21
Fare,-16.7,-151.02,27.12,80,64,6.69
Cabo San Lucas,22.89,-109.91,31.11,54,75,4.1
Port Hedland,-20.31,118.58,18.0,42,98,3.1
Port Lincoln,-34.72,135.86,12.96,87,78,4.43
Benguela,-12.58,13.4,24.98,84,16,1.32
Ahipara,-35.17,173.16,14.71,80,11,7.49
Mujiayingzi,42.12,118.78,7.45,44,100,2.05
Bonnyville,54.27,-110.74,4.0,60,75,2.6
Kibaya,-2.2,30.56,17.78,88,80,2.24
Solhan,38.97,41.05,5.95,86,55,2.09
Warrington,53.39,-2.59,13.89,100,75,6.2
Ballater,57.05,-3.04,10.0,100,90,3.1
Chicama,-7.84,-79.15,19.0,82,20,4.1
Tautira,-17.73,-149.15,31.0,62,40,7.2
Buraydah,26.33,43.97,22.0,60,0,5.1
George Town,5.42,100.33,26.0,94,75,1.5
Beringovskiy,63.05,179.32,-4.19,79,53,1.78
Royken,59.75,10.39,2.78,93,100,3.6
Homestead,25.47,-80.48,31.0,66,1,4.1
Matamoros,25.87,-97.51,23.0,40,1,3.6
Boda,4.32,17.47,21.56,90,93,1.02
Mao,19.55,-71.08,30.0,88,20,1.5
Narsaq,60.91,-46.05,1.0,86,94,2.1
Honningsvag,70.98,25.97,-1.0,74,75,7.2
Shellbrook,53.22,-106.39,3.0,74,75,7.2
Praia,-20.25,-43.81,22.0,78,90,3.6
Dalvik,57.79,14.13,3.33,93,100,3.6
Torbay,47.66,-52.73,17.78,82,75,14.4
Dikson,73.51,80.55,-16.41,93,78,3.03
Jacmel,18.24,-72.54,30.0,70,40,5.1
Amapa,15.09,-87.97,27.0,88,75,3.1
Sines,37.96,-8.87,18.33,98,85,4.02
Sibolga,1.74,98.78,20.37,97,100,0.88
Svetlogorsk,53.14,59.15,-8.0,67,75,7.0
Pasni,25.26,63.48,24.51,79,0,0.85
Saint-Augustin,45.63,-73.98,5.0,64,75,5.1
Dire Dawa,9.59,41.86,15.44,41,0,1.81
Kudahuvadhoo,2.67,72.89,27.72,74,0,3.26
Touros,-5.2,-35.46,26.0,74,20,5.7
Abu Zabad,12.35,29.25,26.61,26,0,5.55
Sechura,-5.56,-80.82,18.23,87,64,7.95
Yerbogachen,61.28,108.01,-8.94,83,100,4.61
Arraial do Cabo,-22.97,-42.02,26.0,88,75,2.1
Jinxi,27.92,116.75,14.78,83,8,0.46
Riyadh,24.63,46.72,22.0,40,0,2.1
Rodrigues Alves,-7.74,-72.65,23.0,100,90,2.1
Newport,51.59,-3.0,15.0,93,75,5.7
Hofn,64.25,-15.21,5.66,70,92,10.98
Luanda,-8.83,13.24,26.0,83,75,4.1
Xicotencatl,23.02,-98.88,25.0,35,54,2.68
Kuruman,-27.46,23.43,19.44,62,93,2.09
Naryan-Mar,67.67,53.09,-9.7,93,99,4.67
Kiruna,67.86,20.23,-9.0,92,100,0.47
Mtwara,-10.28,40.18,22.04,97,0,1.27
Rawson,-43.3,-65.11,22.0,67,75,5.7
Dwarka,28.58,77.04,27.22,73,40,1.0
Florianopolis,-27.6,-48.55,25.0,88,75,4.6
Nakapiripirit,1.81,34.71,22.36,66,66,1.59
Lavrentiya,65.58,-170.99,-4.33,75,90,3.6
Zhigansk,66.77,123.37,-16.83,98,100,5.78
Isangel,-19.55,169.27,21.76,78,100,9.69
Djenne,13.91,-4.55,30.55,17,100,4.72
Sivaki,52.63,126.75,-10.24,70,0,6.8
Porto Novo,-23.68,-45.44,24.0,64,75,7.2
Vila,45.18,8.4,12.22,87,90,1.0
Xichang,27.88,102.25,7.79,97,100,0.45
Busdi,8.28,125.25,21.71,97,75,0.78
Pisco,-13.71,-76.2,22.0,30,0,9.3
Alta Floresta,-9.87,-56.08,32.0,59,20,0.5
Byron Bay,-28.65,153.62,23.0,83,75,5.1
Leningradskiy,69.38,178.42,-10.34,79,18,1.64
Tamandare,-8.28,-70.75,24.55,90,100,1.47
Wasilla,61.58,-149.44,6.0,100,90,1.5
Kodiak,39.95,-94.76,10.56,61,75,5.1
Praxedis Guerrero,31.37,-106.02,20.0,11,1,3.07
Itarantim,-15.65,-40.06,23.05,91,1,1.54
Preobrazheniye,42.9,133.91,0.95,58,0,2.39
Ananindeua,-1.37,-48.4,29.0,74,40,3.1
Salekhard,66.54,66.62,-14.41,96,100,1.27
Biu,10.61,12.19,25.32,39,89,2.15
Ingham,-18.65,146.16,22.08,88,100,0.88
Poya,-21.35,165.16,21.63,71,95,9.01
Tananger,58.94,5.59,6.11,65,100,6.77
Arlit,18.74,7.39,31.19,13,31,3.38
Bradford,53.79,-1.75,13.33,100,90,4.1
Itarema,-2.92,-39.92,25.66,74,25,4.76
Huaihua,27.56,109.96,16.12,71,96,1.32
Wanaka,-44.7,169.14,15.0,63,100,0.45
Seredka,58.06,38.14,-1.96,97,95,2.33
Arbuzynka,47.91,31.32,2.1,66,0,1.36
Tazovskiy,67.47,78.7,-15.77,90,100,7.58
Rocha,-34.48,-54.34,19.81,84,70,5.2
Ishigaki,24.34,124.16,23.0,88,20,6.2
Bilibino,68.06,166.44,-15.65,96,53,1.07
Sitka,37.17,-99.65,12.78,42,0,11.62
Cibitoke,-2.89,29.12,16.77,74,96,1.56
Barabash,43.19,131.5,-4.0,92,0,1.0
Gerash,27.67,54.14,15.0,38,0,2.36
Filingue,14.35,3.32,32.07,13,10,3.34
Provideniya,64.42,-173.23,-6.22,95,100,1.58
Mandera,3.94,41.86,30.19,53,98,5.09
Vao,59.1,26.19,-0.44,93,28,2.28
Pontes e Lacerda,-15.23,-59.33,32.4,49,68,2.25
Marystown,47.17,-55.16,16.67,2,100,5.81
Asyut,27.18,31.19,19.0,59,0,3.1
Rundu,-17.91,19.77,22.0,60,100,1.5
Mahon,51.89,-8.4,9.44,93,40,8.2
Dinghai,26.28,119.79,19.0,68,75,3.0
Lima,-12.06,-77.04,21.0,73,1,5.1
Peterhead,-34.83,138.5,17.22,77,75,3.1
Kalbay,5.72,125.5,28.23,75,100,4.26
Nichinan,31.65,131.31,10.0,100,75,3.6
Henties Bay,-22.12,14.28,18.16,58,71,2.76
Nueva Germania,-23.91,-56.7,37.82,27,32,3.21
Katsuura,33.93,134.5,15.0,62,20,6.2
Harindanga,22.04,88.32,23.0,94,40,1.5
Sept-Iles,50.2,-66.38,4.44,93,90,6.7
Bimbo,4.33,18.53,24.0,100,20,2.1
Malazgirt,39.15,42.54,4.94,82,97,4.85
Yar-Sale,66.83,70.83,-16.01,94,100,5.69
Deputatskiy,69.3,139.9,-14.54,96,100,0.6
Balkhash,46.84,74.98,6.88,50,68,2.79
Seoul,37.57,126.98,7.0,100,1,0.5
La Ronge,55.1,-105.3,2.0,80,90,4.1
Kupang,-10.16,123.6,24.0,88,20,1.5
Kolokani,13.58,-8.03,25.35,63,100,1.64
Yatou,3.63,9.81,24.0,100,75,1.5
Resistencia,-27.45,-58.99,33.0,55,0,5.1
Tuatapere,-46.13,167.69,19.18,44,65,1.62
Cumana,10.46,-64.17,31.0,62,20,4.1
Tallahassee,30.44,-84.28,18.33,36,40,4.1
Sioux Lookout,50.1,-91.92,0.0,80,90,4.1
Chokurdakh,70.62,147.9,-19.91,97,66,1.44
Port-Cartier,50.03,-66.88,4.44,93,90,6.7
Usinsk,66.0,57.56,-10.7,95,92,3.46
Neira,5.17,-75.52,19.0,93,75,1.5
Hereford,52.06,-2.72,14.44,94,100,0.89
Taonan,45.34,122.78,3.7,43,0,3.65
Comodoro Rivadavia,-45.87,-67.48,17.0,48,20,7.7
Iqaluit,63.75,-68.52,-5.0,85,75,1.0
Lasa,34.92,32.53,23.0,69,40,8.7
Aiken,33.56,-81.72,18.0,38,1,3.1
Ciudad Bolivar,8.12,-63.55,31.47,56,96,2.55
Guerrero Negro,27.97,-114.04,29.06,15,63,3.66
Inhambane,-23.87,35.38,22.6,74,0,7.0
Dolores,-33.53,-58.22,23.16,88,100,4.4
New Port Richey,28.24,-82.72,29.0,74,90,3.38
Sabang,13.8,121.11,24.44,92,98,1.65
Ukiah,39.15,-123.21,25.56,17,0,1.59
Paciran,-6.9,112.33,24.94,84,100,0.61
Elizabeth City,36.3,-76.22,15.56,50,1,2.6
Kinkala,-4.35,14.75,27.0,74,20,3.1
Tacoronte,28.48,-16.41,23.33,73,58,4.6
Maposeni,-10.58,35.4,24.0,50,5,4.1
Cartagena,37.63,-1.0,21.67,88,100,2.6
Gisborne,-38.66,178.02,15.0,61,100,4.47
Srandakan,-7.94,110.25,22.56,94,83,1.64
Almaznyy,48.03,40.04,-3.0,73,40,3.0
Dayong,25.02,118.29,21.0,60,41,3.0
Owando,-0.49,15.91,22.37,94,87,0.68
Nyrob,60.74,56.73,-9.99,95,40,1.64
Ystad,55.43,13.82,6.0,75,90,5.1
Heihe,50.24,127.51,-6.0,37,0,6.0
Ewa Beach,21.32,-158.01,29.44,69,1,3.1
Traverse City,44.76,-85.62,6.0,61,75,4.1
Mocuba,-16.84,36.99,23.86,69,63,2.63
Pithora,21.25,82.52,20.44,78,6,1.14
General Roca,-39.03,-67.58,23.0,17,33,6.7
Una,31.47,76.27,17.42,50,0,1.7
Dawlatabad,36.41,64.91,12.02,74,0,1.63
Manzil Salim,35.86,8.48,10.0,87,20,2.1
Ranau,5.95,116.67,24.0,94,75,1.5
Thessalon,46.26,-83.55,3.0,74,90,2.65
Tigil,57.8,158.67,0.18,77,87,6.65
Gushi,32.17,115.65,17.44,38,100,2.49
Tilichiki,60.47,166.1,-3.68,93,99,3.51
Manta,45.1,24.1,1.31,70,2,1.49
Saint-Leu,-21.15,55.28,23.0,100,52,9.3
Baker City,44.77,-117.83,10.0,21,1,1.94
Pangnirtung,66.15,-65.72,-3.0,86,90,1.42
Ust-Tsilma,65.44,52.15,-11.97,96,11,0.59
Impfondo,1.62,18.06,22.55,93,87,0.33
Yanam,16.73,82.22,24.52,89,5,0.5
Vestmannaeyjar,63.44,-20.27,5.82,75,100,7.61
Sembakung,3.82,117.25,22.9,91,100,1.37
Rimetea,46.45,23.57,2.0,84,5,2.1
Agirish,61.92,63.02,-8.34,88,44,3.33
Maniitsoq,65.42,-52.9,0.48,50,0,2.74
San Cristobal,14.68,-86.92,24.68,74,89,2.27
Muravlenko,63.79,74.5,-11.65,94,100,8.51
Namibe,-15.19,12.15,22.28,80,2,5.89
Zharkent,44.17,80.0,10.95,35,100,2.18
Kuvshinovo,57.03,34.18,-2.48,97,49,2.79
Sao Filipe,14.9,-24.5,26.06,62,0,6.67
Whitecourt,54.14,-115.68,3.0,55,90,1.0
Lubango,-14.92,13.49,17.73,71,100,2.99
Buchanan,5.88,-10.05,26.0,94,40,0.67
Miranda,-20.24,-56.38,37.4,26,64,1.36
Palmas Bellas,9.23,-80.09,27.0,83,75,3.1
Lukaya,-0.15,31.87,22.0,78,20,1.5
Niksic,42.77,18.95,14.0,100,0,0.5
Bosaso,11.28,49.18,29.43,67,2,0.89
Sur,22.57,59.53,25.68,75,0,3.09
Beyneu,45.32,55.19,3.5,36,100,5.26
Orbetello,42.44,11.21,15.56,87,75,2.6
Harper,30.3,-99.24,19.0,21,1,4.1
Bako,12.29,-0.73,31.71,24,6,2.7
Katangli,51.71,143.23,1.07,77,73,5.79
Campobello di Mazara,37.64,12.74,16.11,82,10,2.6
Solnechnyy,50.72,136.64,-2.89,83,95,1.34
Vengerovo,55.68,76.74,-3.76,61,100,9.9
Doka,13.52,35.76,26.99,39,10,0.57
Punto Fijo,11.69,-70.21,28.68,72,5,9.26
Yuzhno-Sukhokumsk,44.66,45.65,-0.26,94,100,5.95
Kamina,-8.74,25.0,18.64,89,45,1.89
Banda Aceh,5.56,95.32,22.95,86,100,1.18
Basco,40.33,-91.2,12.0,89,1,3.1
Severo-Yeniseyskiy,60.37,93.04,2.16,95,100,4.92
Gbarnga,7.0,-9.47,22.26,97,100,0.8
Aksarka,66.56,67.8,-14.66,97,100,3.77
Kushima,31.5,131.29,10.0,100,75,3.6
Ketchikan,55.34,-131.65,11.0,100,90,6.2
Richards Bay,-28.77,32.06,21.87,79,100,11.3
Bontang,0.12,117.47,24.3,86,100,3.07
Katobu,-4.94,122.53,22.33,91,61,0.75
Manuk Mangkaw,4.8,119.85,27.99,77,100,6.03
Tongzi,28.78,105.09,15.19,89,100,2.25
Carauari,-4.88,-66.9,26.39,76,100,0.57
Palana,59.08,159.95,-3.65,80,2,3.54
Dhidhdhoo,6.88,73.1,28.24,70,3,1.23
Loviisa,60.46,26.23,-1.0,92,75,1.5
Duluth,46.77,-92.13,3.33,59,90,6.2
Dong Hoi,17.48,106.6,20.62,93,76,2.52
Kieta,-6.22,155.63,27.21,76,45,1.68
Shache,38.42,77.24,10.56,50,73,0.99
Bani Walid,31.76,14.0,19.52,56,59,2.23
Belyy Yar,53.6,91.39,5.0,93,100,2.0
Jishou,28.26,109.7,14.56,69,69,0.77
Bow Island,49.87,-111.38,8.0,31,20,7.2
Sapa,14.32,120.76,26.0,94,75,0.5
Berlevag,70.86,29.09,-3.0,78,40,10.8
Tahe,52.34,124.71,-10.73,64,0,5.96
Dongsheng,29.72,112.52,19.02,38,87,2.03
Kumluca,36.37,30.29,15.74,70,0,1.63
Myasnikyan,40.18,43.92,14.0,54,75,3.6
Qasigiannguit,68.82,-51.19,-7.01,69,95,1.01
George,-15.35,34.83,22.0,76,6,1.76
Okhotsk,59.36,143.24,0.77,84,100,4.62
Vardo,39.62,-77.74,10.0,42,1,5.1
North Bend,43.41,-124.22,17.22,51,1,3.1
Bagotville,-28.98,153.42,22.0,83,75,5.1
Dunedin,-45.87,170.5,10.0,78,10,1.79
Zahir Pir,28.81,70.52,23.98,36,58,4.14
Pompeu,-21.05,-48.85,30.62,46,38,2.76
Lompoc,34.64,-120.46,27.0,20,1,5.1
Salalah,17.01,54.1,29.0,79,31,2.6
Mombetsu,44.35,143.35,7.49,80,36,9.98
Marzuq,14.4,46.47,19.88,31,11,0.5
